7,6,23,10,45
40,12,17,27,85
1,5,13,39,31
1,20,4,61,22
7,33,11,10,45
19,12,13,48,10
6,17,63,5,56
57,13,19,51,47
17,23,48,11,21
40,17,27,79,59
57,5,21,11,25
40,17,63,85,6
5,21,27,61,20
30,25,0,23,5
57,8,9,21,3
7,6,49,27,11
0,19,25,51,59
1,27,19,13,94
0,25,48,63,20
57,37,79,34,4
0,7,6,20,53
51,5,77,27,101
33,7,25,53,6
57,0,9,4,95
7,61,11,16,53
19,33,1,27,72
7,6,20,45,62
57,12,10,34,76
5,23,30,11,33
12,19,37,13,55
0,17,5,28,31
5,6,17,23,11
57,13,59,54,88
0,5,48,71,28
7,25,23,34,77
15,19,13,22,12
7,72,6,53,66
7,1,23,45,20
72,15,33,80,30
7,6,21,2,77
48,5,1,27,69
7,6,5,15,43
57,13,1,85,60
19,20,5,1,16
7,6,40,12,41
7,19,16,13,47
6,87,82,17,26
7,8,25,27,34
23,1,30,3,51
33,1,27,8,44
7,19,25,11,34
0,17,77,16,4
7,23,25,5,6
19,13,16,39,58
1,6,17,23,48
19,13,8,11,10
1,5,23,17,16
7,8,2,10,16
19,6,25,17,23
40,12,27,17,85
5,11,21,39,33
7,6,33,5,93
57,11,23,60,4
7,1,40,27,72
6,19,15,53,76
0,19,33,1,99
7,11,25,22,9
13,7,39,55,35
57,6,82,83,87
1,19,71,20,48
12,23,7,13,17
19,6,56,76,7
0,25,5,13,44
1,37,23,54,8
13,7,12,17,79
25,8,27,19,6
1,17,16,3,63
40,7,48,63,43
5,12,47,13,23
1,17,33,46,34
19,13,7,10,21
57,12,6,23,47
0,17,27,5,28
40,25,81,1,83
12,19,13,37,95
40,12,19,16,73
57,5,68,11,31
5,40,53,27,0
33,17,76,21,63
19,6,86,16,62
0,53,2,15,44
17,6,59,10,55
57,13,48,39,25
0,47,55,17,5
19,6,8,2,23
19,7,13,54,33
23,10,16,62,17
23,19,68,73,39
5,7,27,56,62
19,7,33,60,82
40,12,16,34,39
23,19,56,39,27
5,7,13,33,76
5,19,1,13,51
23,10,16,12,45
7,1,13,33,34
6,15,23,4,22
10,23,27,12,59
0,8,63,28,16
19,27,12,2,34
7,33,42,30,46
33,15,17,6,5
0,25,21,22,10
7,40,25,8,91
6,5,47,33,12
15,56,12,57,72
9,11,52,7,95
1,10,9,53,39
13,23,54,34,4
15,1,47,35,22
7,57,6,79,33
57,19,13,74,82
40,21,4,73,79
19,6,68,82,45
0,25,47,1,22
57,13,31,72,1
23,7,48,18,20
7,25,6,12,45
23,5,20,39,51
7,0,5,13,58
57,12,9,30,35
33,1,29,4,3
6,9,5,17,62
0,19,10,2,22
57,6,13,21,31
17,13,10,56,39
57,33,16,22,62
57,25,23,8,61
5,13,56,73,7
17,13,6,39,37
57,27,12,45,51
0,5,10,33,30
17,13,6,59,56
7,6,51,49,59
5,13,48,25,34
57,13,73,56,72
5,6,7,61,2
72,4,15,47,13
17,25,63,33,62
57,19,9,38,25
5,40,27,47,62
57,5,9,73,76
1,7,13,59,2
6,17,10,61,41
57,13,28,49,4
13,57,5,61,35
17,25,10,40,34
0,13,11,34,7
19,6,27,1,75
40,19,12,59,14
5,21,7,11,13
6,5,73,15,65
57,33,13,76,30
17,13,10,5,55
19,6,33,12,85
0,7,21,10,60
33,25,88,73,39
19,0,60,58,95
40,73,88,80,30
0,25,40,54,59
21,33,10,82,13
57,23,25,5,82
31,72,13,54,6
0,25,13,41,47
57,23,68,31,8
21,15,10,21,18
7,6,25,8,46
21,25,10,54,50
7,23,13,37,64
19,6,12,27,99
57,1,5,74,25
57,6,48,7,10
13,5,63,31,56
5,33,46,48,77
0,12,82,49,102
40,12,7,2,39
19,6,13,11,48
0,25,12,8,65
40,7,48,62,60
57,12,13,25,85
5,0,23,27,10
7,1,16,8,23
5,33,15,18,48
5,11,51,49,69
19,25,12,10,81
0,25,73,23,41
1,17,20,48,40
57,25,5,12,23
63,48,21,27,47
19,23,12,34,15
33,6,8,68,10
57,23,68,50,82
33,48,12,10,56
21,33,23,14,95
0,25,17,15,50
21,15,37,10,6
0,25,76,16,8
0,48,14,25,46
33,17,6,37,53
57,6,21,1,53
0,5,63,13,31
57,13,76,17,91
7,25,5,27,18
5,6,39,10,71
17,25,1,19,23
57,6,27,76,38
5,13,17,73,56
5,33,10,12,17
19,6,7,37,34
57,1,27,51,49
6,17,21,2,38
6,17,81,10,61
7,1,16,22,35
7,57,48,9,34
0,13,47,73,17
5,33,23,76,43
19,6,17,21,38
7,12,51,11,92
57,6,17,25,48
57,6,59,16,13
